empresa,sector,departamento,empleados,ventas_2023,ventas_2024,costos_2024
Café Cumbre,agro,Santa Ana,35,420,465,380
Textiles del Norte,industria,San Salvador,120,1850,1720,1610
Ferretería El Clavo,comercio,San Miguel,18,610,690,540
Agroexport Lempa,agro,Usulután,60,980,NA,870
Software Maya,servicios,La Libertad,25,300,410,260
Panadería Doña Tere,comercio,Sonsonate,9,95,104,88
Plásticos Pacífico,industria,La Libertad,80,1240,1310,1150
Turismo Volcanes,servicios,Santa Ana,14,150,185,NA
Lácteos La Vega,agro,San Miguel,NA,540,560,500
Imprenta Central,servicios,San Salvador,22,210,198,205
Distribuidora Oriente,comercio,San Miguel,40,1320,1450,1290
Metalúrgica Istmo,industria,Sonsonate,95,1600,1540,1580
