persona,sector,sexo,edad,educacion_anios,salario_mensual
P01,comercio,mujer,27,15,780
P02,comercio,hombre,28,8,570
P03,comercio,mujer,28,17,840
P04,comercio,hombre,41,12,650
P05,comercio,mujer,33,7,440
P06,comercio,hombre,43,15,700
P07,comercio,mujer,47,11,570
P08,comercio,hombre,43,13,670
P09,comercio,mujer,59,13,690
P10,comercio,hombre,44,8,510
P11,industria,mujer,37,13,750
P12,industria,hombre,54,13,740
P13,industria,mujer,37,11,690
P14,industria,hombre,50,13,760
P15,industria,mujer,40,16,860
P16,industria,hombre,42,15,810
P17,industria,mujer,50,17,960
P18,industria,hombre,53,8,620
P19,industria,mujer,50,9,630
P20,industria,hombre,53,13,680
P21,servicios,mujer,37,7,640
P22,servicios,hombre,27,11,750
P23,servicios,mujer,56,11,650
P24,servicios,hombre,36,16,900
P25,servicios,mujer,40,10,730
P26,servicios,hombre,28,9,670
P27,servicios,mujer,34,16,900
P28,servicios,hombre,41,11,750
P29,servicios,mujer,27,15,890
P30,servicios,hombre,30,12,770
P31,agro,mujer,50,7,240
P32,agro,hombre,45,9,360
P33,agro,mujer,31,11,450
P34,agro,hombre,49,13,570
P35,agro,mujer,53,16,660
P36,agro,hombre,20,13,570
P37,agro,mujer,32,17,730
P38,agro,hombre,55,6,280
P39,agro,mujer,29,16,610
P40,agro,hombre,58,9,370
